2016-12-22 09:04:54,227 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:54,487 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:54,737 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:54,997 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:55,257 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:55,507 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:55,757 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:56,007 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:56,257 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:56,507 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:56,757 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:57,007 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:57,257 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:57,507 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:57,757 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:58,007 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:58,257 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:58,507 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:58,757 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:59,007 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:59,257 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:59,507 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:04:59,757 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:00,007 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:00,257 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:00,507 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:00,757 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:01,007 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:01,257 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:01,507 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:01,757 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:02,007 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:02,257 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:02,507 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:02,757 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:03,007 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:03,257 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:03,507 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:03,757 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:04,007 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:04,257 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:04,507 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:04,757 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:05,007 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:05,257 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
2016-12-22 09:05:05,507 | ERROR | (OperationProcessor.java:179) | java.io.IOException: No error in nativeavailable
